iter	Passed	Remaining
303	1108	2537
304	1111	2533
305	1115	2529
306	1118	2525
307	1122	2521
308	1125	2517
309	1129	2513
310	1132	2508
311	1135	2504
312	1139	2500
313	1143	2497
314	1145	2492
315	1149	2487
316	1152	2482
317	1155	2478
318	1158	2473
319	1161	2468
320	1165	2464
321	1168	2459
322	1171	2454
323	1174	2451
324	1179	2450
325	1182	2444
326	1185	2440
327	1189	2436
328	1192	2432
329	1195	2427
330	1199	2424
331	1202	2419
332	1205	2414
333	1208	2410
334	1211	2405
335	1215	2402
336	1218	2397
337	1222	2395
338	1225	2390
339	1228	2385
340	1232	2381
341	1235	2376
342	1238	2373
343	1242	2369
344	1246	2365
345	1249	2361
346	1252	2357
347	1256	2353
348	1259	2348
349	1263	2346
350	1266	2340
351	1269	2336
352	1272	2332
353	1275	2327
354	1278	2323
355	1282	2319
356	1285	2315
357	1288	2311
358	1292	2308
359	1296	2305
360	1299	2300
361	1303	2296
362	1306	2292
363	1309	2288
364	1313	2285
365	1316	2279
366	1319	2275
367	1322	2272
368	1326	2268
369	1329	2264
370	1332	2259
371	1335	2254
372	1338	2250
373	1342	2246
374	1345	2242
375	1348	2237
376	1351	2233
377	1355	2230
378	1359	2226
379	1362	2223
380	1365	2218
381	1368	2214
382	1372	2210
383	1377	2209
384	1380	2205
385	1384	2201
386	1387	2197
387	1390	2193
388	1394	2189
389	1398	2187
390	1401	2183
391	1404	2178
392	1408	2175
393	1411	2170
394	1415	2167
395	1418	2162
396	1421	2159
397	1424	2154
398	1427	2150
399	1431	2146
400	1434	2143
401	1437	2138
402	1441	2134
403	1444	2131
404	1447	2126
405	1450	2122
406	1453	2118
407	1456	2113
408	1460	2109
409	1462	2105
410	1466	2101
411	1469	2097
412	1472	2093
413	1476	2089
414	1479	2085
415	1482	2081
416	1486	2077
417	1489	2074
418	1493	2070
419	1496	2067
420	1499	2062
421	1502	2058
422	1506	2054
423	1509	2050
424	1511	2045
425	1515	2041
426	1518	2038
427	1521	2033
428	1525	2030
429	1528	2026
430	1532	2023
431	1535	2019
